             id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0             0   1                18                    9  ...                      1                      4            0            0
1             0   2                18                    9  ...                      1                      4            0            0
2             0   3                18                    9  ...                      1                      3            1            1
3             0   4                 4                    1  ...                      1                      1            0            0
4             0   5                 5                   12  ...                      1                      4            0            0
...         ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
1974719  249998   4                 1                    9  ...                      1                      3            0            1
1974720  249998   5                 7                    9  ...                      1                      4            1            1
1974721  249999   1                 9                    0  ...                      1                      3            0            1
1974722  249999   2                 9                   16  ...                      1                      3            0            0
1974723  249999   3                 9                    9  ...                      1                      3            0            0

[1974724 rows x 61 columns]
             id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        250000   1                 8                    7  ...                      1                      4            0            0
1        250000   2                14                    8  ...                      1                      4            0            0
2        250000   3                10                    4  ...                      1                      4            0            0
3        250000   4                13                   12  ...                      1                      4            0            0
4        250000   5                 6                   12  ...                      1                      1            1            0
...         ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2107300  499999   8                 6                   11  ...                      1                      2            0            0
2107301  499999   9                11                   13  ...                      1                      2            0            0
2107302  499999  10                 1                    2  ...                      1                      3            0            1
2107303  499999  11                12                   10  ...                      1                      4            0            1
2107304  499999  12                12                    2  ...                      1                      0            0            1

[2107305 rows x 61 columns]
             id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        500000   1                13                    4  ...                      1                      4            0            0
1        500000   2                13                   14  ...                      1                      4            0            0
2        500000   3                18                    5  ...                      1                      1            0            0
3        500000   4                 4                    2  ...                      1                      3            1            1
4        500000   5                 5                   16  ...                      1                      3            0            1
...         ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2080503  749998   4                18                   10  ...                      1                      0            0            0
2080504  749998   5                12                    9  ...                      1                      4            0            0
2080505  749999   1                14                    4  ...                      1                      2            0            0
